variable,hc.txt,jetcalib.txt,lepcalib.txt,scouting.txt,tth.txt,tttt.txt,merged
SV_charge,keep,,,,,,keep
SV_chi2,keep,,,,,,keep
SV_dlen,keep,,,,,,keep
SV_dlenSig,keep,,,,,,keep
SV_dxy,keep,,,,,,keep
SV_dxySig,keep,,,,,,keep
SV_eta,keep,,,,,keep,keep
SV_mass,keep,,,,,keep,keep
SV_ndof,keep,,,,,,keep
SV_ntracks,keep,,,,,,keep
SV_pAngle,keep,,,,,,keep
SV_phi,keep,,,,,keep,keep
SV_pt,keep,,,,,keep,keep
SV_x,keep,,,,,,keep
SV_y,keep,,,,,,keep
SV_z,keep,,,,,,keep
Tau_decayMode,,,,,,keep,keep
Tau_eta,,,,,,keep,keep
Tau_jetIdx,,,,,,keep,keep
Tau_mass,,,,,,keep,keep
Tau_phi,,,,,,keep,keep
Tau_pt,,,,,,keep,keep
TrkMET_phi,,keep,,,,,keep
